FRAME	XCENTER	YCENTER	BRIGHTNESS	BG	I0	S_X	S_Y	THETA	ECC
63	417.193	223.335	6657.731	600.262	1118.148	 0.580	 1.634	 2.844	 0.935
64	111.512	128.335	9417.053	590.862	867.313	 0.956	 1.807	 1.045	 0.848
64	119.521	336.340	23798.982	555.537	1191.732	 1.733	 1.834	 2.150	 0.327
65	108.953	125.668	14982.562	582.095	732.920	 1.175	 2.768	 1.130	 0.905
65	119.720	337.188	15208.469	617.690	1042.809	 1.488	 1.560	 1.891	 0.300
66	109.215	122.548	33913.697	600.014	810.009	 2.154	 3.094	 0.141	 0.718
66	118.278	336.597	15334.861	578.746	834.503	 1.384	 2.114	 0.484	 0.756
67	107.274	122.376	22532.557	609.120	640.652	 2.134	 2.623	 1.566	 0.581
68	105.695	125.957	13101.697	601.215	776.244	 1.305	 2.059	 0.324	 0.774
69	104.587	122.235	20006.396	605.670	1039.834	 1.539	 1.990	 0.955	 0.634
70	106.386	117.118	48274.555	629.560	2331.293	 1.445	 2.281	 2.925	 0.774
71	103.685	116.340	49961.266	690.674	2664.474	 1.469	 2.032	 1.681	 0.691
72	101.813	115.304	39605.948	649.843	3050.525	 1.293	 1.598	 0.863	 0.588
73	101.104	114.702	57063.743	692.571	2525.123	 1.774	 2.027	 1.275	 0.484
74	98.571	115.282	60769.590	642.512	2456.285	 1.781	 2.211	 2.661	 0.592
74	135.971	110.491	6841.390	624.162	709.609	 1.167	 1.314	 0.479	 0.460
75	100.270	117.941	40733.934	615.934	1247.018	 1.856	 2.802	 1.213	 0.749
75	344.970	102.806	5678.813	711.995	707.264	 1.034	 1.236	 1.824	 0.547
76	105.050	117.807	52348.193	644.488	2441.471	 1.614	 2.115	 1.557	 0.646
79	102.953	121.935	17920.180	589.465	757.849	 1.510	 2.493	 2.683	 0.796
81	103.992	116.299	6901.269	661.514	1500.588	 0.676	 1.083	 1.095	 0.782
81	259.087	329.267	9686.019	566.450	488.920	 1.773	 1.778	 2.516	 0.073
82	104.261	115.799	9738.012	723.470	750.916	 1.306	 1.580	 1.583	 0.563
82	110.930	108.921	20317.825	794.215	993.384	 1.791	 1.818	 0.787	 0.173
83	104.797	104.654	39783.704	698.656	970.219	 2.151	 3.034	 2.003	 0.705
84	104.372	102.592	31040.151	609.298	615.174	 2.277	 3.526	 2.757	 0.764
85	106.888	106.587	37443.030	627.597	575.034	 2.504	 4.138	 0.572	 0.796
85	140.068	402.849	4130.797	548.888	1303.772	 0.698	 0.722	 2.753	 0.257
86	116.193	103.109	23869.900	630.927	724.169	 1.992	 2.634	 2.169	 0.654
87	294.944	261.315	15100.218	602.528	1195.400	 1.247	 1.613	 1.605	 0.634
87	346.021	102.666	11895.106	691.928	503.003	 1.615	 2.331	 1.389	 0.721
88	346.696	103.611	8044.688	700.180	684.931	 1.363	 1.371	 0.225	 0.108
90	30.716	79.646	26717.385	618.222	1842.884	 1.455	 1.586	 2.001	 0.398
90	135.332	111.244	7629.901	639.396	691.566	 0.913	 1.924	 1.122	 0.880
91	30.842	79.381	56783.122	669.928	3142.858	 1.688	 1.704	 0.383	 0.138
92	30.765	79.263	59533.900	675.218	3678.216	 1.579	 1.631	 0.988	 0.251
93	30.742	79.135	48687.513	669.135	2965.377	 1.557	 1.678	 1.439	 0.373
93	277.565	225.815	6138.997	631.030	851.487	 0.938	 1.224	 2.028	 0.643
94	30.883	79.026	51013.259	694.556	3456.848	 1.446	 1.624	 1.840	 0.455
94	136.256	110.959	8810.032	620.846	618.372	 1.387	 1.634	 2.596	 0.529
94	277.908	225.221	6399.809	595.260	943.029	 0.671	 1.611	 2.461	 0.909
95	31.128	78.824	53219.851	710.104	3978.956	 1.378	 1.544	 2.690	 0.451
96	31.071	79.027	54250.875	704.966	3280.176	 1.464	 1.798	 1.941	 0.581
97	31.060	78.861	50311.746	684.445	3611.066	 1.350	 1.643	 2.603	 0.570
98	30.956	78.916	54594.258	720.006	3445.684	 1.542	 1.635	 0.241	 0.332
98	304.145	265.925	14898.820	580.055	490.618	 1.607	 3.007	 1.100	 0.845
99	30.992	78.925	49051.857	697.329	3055.619	 1.447	 1.766	 2.096	 0.573
99	79.002	136.475	40242.095	622.758	612.688	 3.032	 3.448	 1.850	 0.476
99	306.570	266.627	11054.535	688.503	765.823	 1.252	 1.835	 1.045	 0.731
100	30.931	79.053	45057.682	687.143	2951.812	 1.486	 1.635	 0.869	 0.416
100	87.298	310.815	9574.204	595.694	544.470	 1.458	 1.920	 1.813	 0.651
101	30.798	79.140	44230.750	709.007	3293.741	 1.397	 1.529	 3.008	 0.406
101	305.003	263.298	44762.924	562.485	622.250	 2.944	 3.890	 1.558	 0.654
102	30.956	79.218	44765.357	696.244	3219.891	 1.317	 1.680	 1.945	 0.620
102	94.391	102.568	16233.450	705.411	989.012	 1.328	 1.967	 0.172	 0.738
102	301.268	262.576	34121.309	594.013	644.756	 2.070	 4.069	 0.651	 0.861
103	31.067	79.266	55311.552	658.002	2743.953	 1.743	 1.841	 2.237	 0.323
103	88.180	114.117	9268.298	801.658	592.448	 1.373	 1.814	 1.373	 0.654
103	92.411	103.874	65188.460	825.647	2503.724	 1.606	 2.580	 3.106	 0.782
103	300.419	263.535	13541.657	649.189	624.467	 1.366	 2.527	 1.774	 0.841
104	30.913	79.199	49181.109	707.907	3666.671	 1.460	 1.462	 2.685	 0.051
104	90.090	103.752	37046.172	733.971	1598.974	 1.526	 2.416	 2.780	 0.775
104	139.349	402.017	6751.256	553.805	954.960	 0.810	 1.389	 1.033	 0.812
104	390.510	87.111	9244.255	562.435	676.413	 1.061	 2.049	 1.677	 0.855
105	30.876	79.347	48083.915	689.079	3732.962	 1.376	 1.490	 2.175	 0.384
105	91.366	102.469	39427.819	828.540	1241.535	 1.846	 2.737	 0.049	 0.738
105	97.078	104.091	115265.863	539.866	886.423	 3.864	 5.356	 1.270	 0.692
105	138.184	402.968	3361.653	543.693	1682.510	 0.475	 0.669	 0.868	 0.704
105	301.094	259.579	3809.426	654.607	2509.865	 0.364	 0.663	 1.286	 0.836
106	30.667	78.975	50206.091	671.193	2842.981	 1.412	 1.991	 2.294	 0.705
106	93.100	99.548	39967.579	822.071	2380.646	 1.501	 1.781	 2.650	 0.538
106	135.394	111.919	9463.229	604.268	514.127	 1.359	 2.155	 3.129	 0.776
107	93.958	99.250	36851.213	736.317	1357.327	 1.680	 2.571	 2.916	 0.757
107	291.321	265.789	44032.000	601.248	1518.785	 1.783	 2.587	 1.815	 0.724
108	135.529	111.507	7980.853	590.532	665.165	 1.243	 1.537	 1.342	 0.588
108	144.941	155.545	15567.532	608.697	771.022	 1.559	 2.061	 1.841	 0.654
108	291.849	264.611	31637.589	625.719	1274.300	 1.745	 2.265	 0.055	 0.638
109	150.226	157.258	25098.077	624.702	1418.698	 1.428	 1.972	 2.446	 0.690
109	293.559	262.261	13261.121	630.103	1024.653	 1.239	 1.663	 2.224	 0.667
110	86.110	96.060	14051.511	666.388	454.091	 1.629	 3.024	 2.519	 0.843
110	286.882	263.240	26481.865	697.568	1519.518	 1.481	 1.873	 1.096	 0.613
110	345.970	103.613	10560.435	696.641	888.085	 1.039	 1.821	 1.382	 0.821
111	279.740	262.370	31943.562	601.305	1324.475	 1.550	 2.476	 2.299	 0.780
111	346.156	102.238	4766.265	687.554	1036.046	 0.323	 2.267	 1.144	 0.990
112	95.255	107.221	27504.743	682.320	895.791	 2.026	 2.412	 1.990	 0.542
112	273.594	265.708	25095.248	589.073	503.572	 1.924	 4.123	 1.779	 0.884
112	344.443	102.527	24930.757	654.786	454.979	 2.221	 3.926	 1.793	 0.825
113	104.004	102.874	35253.107	694.691	858.428	 1.753	 3.729	 1.365	 0.883
114	105.606	106.814	23784.130	635.363	506.632	 2.703	 2.764	 1.028	 0.209
114	451.132	160.628	5621.808	585.881	764.216	 0.920	 1.272	 2.939	 0.691
115	98.889	104.496	43953.421	616.953	569.759	 2.864	 4.287	 2.107	 0.744
115	99.743	103.771	66733.960	633.322	451.975	 2.602	 9.031	 1.682	 0.958
115	156.522	163.478	6823.731	664.873	796.910	 0.739	 1.845	 0.806	 0.916
115	423.899	126.218	5549.726	623.174	777.783	 0.954	 1.190	 1.813	 0.598
116	92.940	110.914	56014.856	543.478	668.087	 2.522	 5.291	 1.101	 0.879
116	117.246	119.733	18826.641	600.632	496.534	 1.773	 3.403	 1.259	 0.854
117	118.685	109.427	52362.467	683.263	963.677	 2.423	 3.570	 1.249	 0.734
118	111.434	110.178	20294.468	708.791	523.672	 2.416	 2.553	 0.300	 0.324
118	230.681	304.378	17049.334	583.859	849.253	 1.633	 1.956	 1.753	 0.550
118	451.066	160.451	8594.900	552.607	612.372	 1.251	 1.786	 0.376	 0.714
119	73.763	93.637	10430.809	711.292	737.490	 0.765	 2.941	 0.231	 0.966
119	229.736	304.179	15075.701	628.600	1206.300	 1.273	 1.562	 0.584	 0.579
120	67.369	90.871	27750.944	644.254	444.671	 2.662	 3.732	 1.619	 0.701
120	113.942	109.847	11249.076	662.321	632.937	 1.327	 2.131	 2.633	 0.783
120	117.247	338.944	10764.815	566.757	658.198	 1.330	 1.957	 2.195	 0.733
120	231.028	303.954	16797.825	600.433	681.380	 1.558	 2.518	 0.414	 0.786
121	66.608	87.544	22183.180	719.677	969.410	 1.468	 2.481	 1.094	 0.806
121	94.432	100.738	20015.062	661.436	503.312	 2.478	 2.554	 0.999	 0.242
121	117.579	112.124	32416.502	652.481	913.204	 2.267	 2.492	 2.235	 0.415
121	116.990	339.001	9867.019	580.010	724.120	 1.077	 2.015	 1.590	 0.845
121	164.685	360.082	11511.704	548.984	565.013	 1.184	 2.739	 1.166	 0.902
